role,node,router,sent_flits,accepted_flits
src_RN,16,4,0.193667,0.0
src_RN,17,4,0.189,0.0
src_RN,20,5,0.201,0.0
src_RN,21,5,0.206333,0.0
src_RN,52,13,0.203,0.0
src_RN,56,14,0.188667,0.0
src_RN,60,15,0.209,0.0
src_RN,64,16,0.190333,0.0
dst_HN,14,3,0.0,0.108
dst_HN,18,4,0.0,0.0936667
dst_HN,19,4,0.0,0.1
dst_HN,22,5,0.0,0.0976667
dst_HN,54,13,0.0,0.0886667
dst_HN,58,14,0.0,0.095
dst_HN,62,15,0.0,0.107333
dst_HN,66,16,0.0,0.112
dst_HN,102,25,0.0,0.0993333
dst_HN,106,26,0.0,0.0986667
dst_HN,110,27,0.0,0.0946667
dst_HN,114,28,0.0,0.0976667
dst_HN,150,37,0.0,0.101333
dst_HN,154,38,0.0,0.101333
dst_HN,158,39,0.0,0.0956667
dst_HN,162,40,0.0,0.098
