lambda,channel,state,inj_flit,acc_flit,inj_pkt,acc_pkt,accept_ratio,packet_latency,flit_latency,hops
0.001,REQ,ok,0.0005639538900000001,0.0005647842900000001,0.0005639538900000001,0.0005647842900000001,1.0014724608070351,34.30816559388542,34.271366577604354,6.435570421465335
0.001,RSP,ok,0.0007882062499999997,0.0007882056399999999,0.0007882062499999997,0.0007882056399999999,0.999999226090887,33.599744360963975,33.600254724761925,6.281367942071312
0.001,SNP,ok,8.637877499999999e-05,8.7209275e-05,8.637877499999999e-05,8.7209275e-05,1.0096146304459632,31.99590768057641,32.006057994290174,5.989568291967798
0.001,DAT,ok,0.0007267441799999999,0.00073255828,0.00036378705999999994,0.0003671098599999999,1.0080002016665617,35.37344861068565,34.441598769292455,6.354793996909569
0.0015,REQ,ok,0.0008563122550000001,0.0008571427750000001,0.0008563122550000001,0.0008571427750000001,1.000969879848327,34.16558234041697,34.1277655622122,6.392252271584508
0.0015,RSP,ok,0.001176910555,0.001176909835,0.001176910555,0.001176909835,0.9999993882287852,33.81008793806962,33.830253199871514,6.290686968530686
0.0015,SNP,ok,0.00012043181500000001,0.000121262415,0.00012043181500000001,0.000121262415,1.0068968486441892,33.6000468401689,33.61579338752242,6.306183410211646
0.0015,DAT,ok,0.0010838871399999998,0.00109468584,0.0005423585200000001,0.0005481731400000001,1.0099629376541919,36.20910478286659,35.371322120634176,6.3947527530029085
0.002,REQ,ok,0.0011328903049999998,0.0011337215049999998,0.0011328903049999998,0.0011337215049999998,1.000733698572873,34.007290458576975,33.99994922003179,6.339438700250642
0.002,RSP,ok,0.001527408404999999,0.0015299002849999993,0.001527408404999999,0.0015299002849999993,1.0016314431633628,34.0740012708031,34.110607540112994,6.2996267227833735
0.002,SNP,ok,0.00016362124499999997,0.00016445184499999999,0.00016362124499999997,0.00016445184499999999,1.005076357902056,33.604161615097716,33.620955505917244,6.311686059128737
0.002,DAT,ok,0.00148422018,0.0014900337800000001,0.0007425251650000001,0.000745016265,1.0039169390622353,36.62490925934483,35.57872348989296,6.368339089942914
0.0025,REQ,ok,0.001423588035,0.001423587235,0.001423588035,0.001423587235,0.9999994380396713,34.39496808009381,34.37292791090531,6.387661483532832
0.0025,RSP,ok,0.0019194353,0.00192109584,0.0019194353,0.00192109584,1.0008651190274556,34.80631326901108,34.81419535183833,6.370220430392427
0.0025,SNP,ok,0.00020099669499999999,0.00020099672500000003,0.00020099669499999999,0.00020099672500000003,1.0000001492561856,33.75454716478589,33.785743466019156,6.341014803736726
0.0025,DAT,ok,0.0018513287900000003,0.0018538200900000002,0.0009260801700000001,0.0009277410700000002,1.0013456820924824,37.26375436675235,36.19605742252473,6.382711829621826
0.003,REQ,ok,0.00167691088,0.0016769110199999998,0.00167691088,0.0016769110199999998,1.0000000834868457,34.410515349135835,34.391664324774375,6.363497242030531
0.003,RSP,ok,0.0023280731600000006,0.002327242560000001,0.0023280731600000006,0.002327242560000001,0.9996432242704951,35.895236438196605,35.88236765595847,6.435021892216294
0.003,SNP,ok,0.00024003324,0.00024086373999999999,0.00024003324,0.00024086373999999999,1.0034599374653277,34.62789416296949,34.61485449917451,6.509660970699865
0.003,DAT,ok,0.00220514952,0.00220930192,0.001102989765,0.001104651935,1.00188304691466,38.93217166705457,37.81474972575545,6.463333249818383
0.0035,REQ,ok,0.0019161129800000004,0.0019152829600000004,0.0019161129800000004,0.0019152829600000004,0.9995668209501927,34.49271636533904,34.477768647029045,6.350686995128173
0.0035,RSP,ok,0.002701826459999999,0.002702658159999999,0.002701826459999999,0.002702658159999999,1.000307828801114,36.98713917175788,36.97772204860089,6.460614150912935
0.0035,SNP,ok,0.0002765780700000001,0.00027740877000000005,0.0002765780700000001,0.00027740877000000005,1.0030034919254442,34.851822620622265,34.835683068076754,6.55599847324221
0.0035,DAT,ok,0.00258388723,0.00258637843,0.0012923585550000001,0.0012931886150000004,1.0009641287634676,41.10623288097614,39.97874669914487,6.480618423835989
0.004,REQ,ok,0.002178572674999999,0.002177740104999999,0.002178572674999999,0.002177740104999999,0.9996178369399589,34.98398630362737,34.97032775628203,6.384942493999946
0.004,RSP,ok,0.0030598005850000004,0.0030622926850000006,0.0030598005850000004,0.0030622926850000006,1.0008144648419957,39.17937974834271,39.16499476116048,6.449141762275969
0.004,SNP,ok,0.00031063106,0.00031146166000000004,0.00031063106,0.00031146166000000004,1.0026739116172094,35.275610878664814,35.251328743714396,6.638534173053915
0.004,DAT,ok,0.0029526564900000003,0.0029584716900000006,0.0014767443450000002,0.001480066745,1.0019694807098947,43.85738679373275,42.67744687489301,6.438727596962741
0.0045,REQ,ok,0.0024327237999999993,0.00243438548,0.0024327237999999993,0.00243438548,1.0006830532919524,35.56644857924515,35.55532167006928,6.386371845532122
0.0045,RSP,ok,0.0034676073050000002,0.003503323105,0.0034676073050000002,0.003503323105,1.01029983987763,85.81078267778014,89.4991481364614,6.449076661055873
0.0045,SNP,ok,0.00037126255000000005,0.00037292365,0.00037126255000000005,0.00037292365,1.004474192185557,35.70968137450118,35.606905675689916,6.724039948765919
0.0045,DAT,ok,0.0033397003800000004,0.00333388268,0.0016702658000000003,0.0016669423000000001,0.9982580173853799,54.902153496357975,54.0261615615283,6.4357367726419215
