lambda,state,n_sn,read_acc_per_sn,read_acc_total,read_inj_per_sn,read_inj_total,read_util,read_flat,write_acc_per_sn,write_acc_total,write_inj_per_sn,write_inj_total,write_util,write_flat
0.005,ok,4,0.00931251,0.03725004,0.009374989,0.037499956,0.00931251,34.5267,0.0,0,0.0,0,0.0,
0.01,ok,4,0.020687515,0.08275006,0.020749994,0.082999976,0.020687515,33.606,0.0,0,0.0,0,0.0,
0.02,ok,4,0.041111096,0.164444384,0.04105554,0.16422216,0.041111096,35.3862,0.0,0,0.0,0,0.0,
0.03,UNSTBL,4,0.06575001,0.26300004,0.06575001,0.26300004,0.06575001,34.9667,0.0,0,0.0,0,0.0,
0.05,UNSTBL,4,0.11625007,0.46500028,0.11399988,0.45599952,0.11625007,34.7763,0.0,0,0.0,0,0.0,
0.07,UNSTBL,4,0.13549988000000002,0.5419995200000001,0.13599997,0.54399988,0.13549988000000002,36.8026,0.0,0,0.0,0,0.0,
0.1,UNSTBL,4,0.19424992000000002,0.7769996800000001,0.19787482,0.79149928,0.19424992000000002,36.5959,0.0,0,0.0,0,0.0,
0.15,UNSTBL,4,0.29025,1.161,0.29724997000000003,1.1889998800000001,0.29025,41.378600000000006,0.0,0,0.0,0,0.0,
0.2,UNSTBL,4,0.31824988000000004,1.2729995200000002,0.3260002,1.3040008,0.31824988000000004,44.5664,0.0,0,0.0,0,0.0,
0.3,UNSTBL,4,0.31124991,1.24499964,0.32524985,1.3009994,0.31124991,44.8715,0.0,0,0.0,0,0.0,
0.5,UNSTBL,4,0.32024981,1.28099924,0.33575002,1.34300008,0.32024981,44.2873,0.0,0,0.0,0,0.0,
0.7,UNSTBL,4,0.32824996,1.31299984,0.34224990000000005,1.3689996000000002,0.32824996,43.5339,0.0,0,0.0,0,0.0,
