lambda,state,n_sn,read_acc_per_sn,read_acc_total,read_inj_per_sn,read_inj_total,read_util,read_plat,write_acc_per_sn,write_acc_total,write_inj_per_sn,write_inj_total,write_util,write_plat
0.005,ok,4,0.0,0,0.0,0,0.0,,0.11639283,0.46557132,0.11628576,0.46514304,0.11639283,36.0544
0.01,ok,4,0.0,0,0.0,0,0.0,,0.23627769,0.94511076,0.23638906,0.94555624,0.23627769,36.1236
0.015,ok,4,0.0,0,0.0,0,0.0,,0.35784987,1.43139948,0.35787481000000004,1.4314992400000002,0.35784987,36.9237
0.016,ok,4,0.0,0,0.0,0,0.0,,0.38702795,1.5481118,0.38680564,1.54722256,0.38702795,37.386
0.018,ok,4,0.0,0,0.0,0,0.0,,0.4391934,1.7567736,0.4391117,1.7564468,0.4391934,37.9648
0.02,ok,4,0.0,0,0.0,0,0.0,,0.480525,1.9221,0.4807744,1.9230976,0.480525,38.4483
0.021,ok,4,0.0,0,0.0,0,0.0,,0.5034698,2.0138792,0.504218,2.016872,0.5034698,39.0837
0.022,ok,4,0.0,0,0.0,0,0.0,,0.525374,2.101496,0.5261480000000001,2.1045920000000002,0.525374,39.59
0.023,ok,4,0.0,0,0.0,0,0.0,,0.5483618,2.1934472,0.5485553,2.1942212,0.5483618,40.14609999999999
0.024,ok,4,0.0,0,0.0,0,0.0,,0.5783328,2.3133312,0.5788316,2.3153264,0.5783328,41.1226
0.025,ok,4,0.0,0,0.0,0,0.0,,0.601312,2.405248,0.6014367,2.4057468,0.601312,43.0144
0.026,ok,4,0.0,0,0.0,0,0.0,,0.6285611,2.5142444,0.6298769,2.5195076,0.6285611,44.0168
0.028,ok,4,0.0,0,0.0,0,0.0,,0.6726576,2.6906304,0.6717202,2.6868808,0.6726576,51.3368
0.03,UNSTBL,4,0.0,0,0.0,0,0.0,,0.7058794,2.8235176,0.7064642,2.8258568,0.7058794,323.154
0.031,UNSTBL,4,0.0,0,0.0,0,0.0,,0.7157478999999999,2.8629915999999995,0.7175926,2.8703704,0.7157478999999999,279.253
0.032,UNSTBL,4,0.0,0,0.0,0,0.0,,0.7095,2.838,0.69875,2.795,0.7095,122.95600000000002
0.033,UNSTBL,4,0.0,0,0.0,0,0.0,,0.7226235999999999,2.8904943999999997,0.7215013000000001,2.8860052000000005,0.7226235999999999,133.329
0.034,UNSTBL,4,0.0,0,0.0,0,0.0,,0.74175,2.967,0.7435001,2.9740004,0.74175,99.5701
0.035,UNSTBL,4,0.0,0,0.0,0,0.0,,0.7349990000000001,2.9399960000000003,0.7474991,2.9899964,0.7349990000000001,161.327
0.036,UNSTBL,4,0.0,0,0.0,0,0.0,,0.7435001,2.9740004,0.7492492,2.9969968,0.7435001,157.028
0.037,UNSTBL,4,0.0,0,0.0,0,0.0,,0.7787515,3.115006,0.7860013,3.1440052,0.7787515,207.634
0.038,UNSTBL,4,0.0,0,0.0,0,0.0,,0.7630006,3.0520024,0.7987508000000001,3.1950032000000004,0.7630006,194.057
0.039,UNSTBL,4,0.0,0,0.0,0,0.0,,0.7494986,2.9979944,0.7377509999999999,2.9510039999999997,0.7494986,208.984
0.04,UNSTBL,4,0.0,0,0.0,0,0.0,,0.780751,3.123004,0.7732518,3.0930072,0.780751,203.968
0.041,UNSTBL,4,0.0,0,0.0,0,0.0,,0.7865001,3.1460004,0.7799984999999999,3.1199939999999997,0.7865001,192.106
0.042,UNSTBL,4,0.0,0,0.0,0,0.0,,0.7595004,3.0380016,0.7570021,3.0280084,0.7595004,278.649
0.043,UNSTBL,4,0.0,0,0.0,0,0.0,,0.7902496999999999,3.1609987999999998,0.8082495000000001,3.2329980000000003,0.7902496999999999,285.715
